# disclosure_anchor research-priority universe — v11 phase-1 candidate from the frozen public screen.
# Best attainable phase-1 candidate / still not GO; rules and hashes: watchlist-v11-manifest.json.
# Threshold outcome, not forced fill; blank optional fields inherit global defaults.
security_code,exchange,status,joined_date,lookback_days,sync_frequency,process_classes,note
300308,SZSE,active,2026-08-23,,,,中际旭创股份有限公司
688578,SSE,active,2026-08-23,,,,上海艾力斯医药科技股份有限公司
300476,SZSE,active,2026-08-23,,,,胜宏科技(惠州)股份有限公司
002463,SZSE,active,2026-08-23,,,,沪士电子股份有限公司
000975,SZSE,active,2026-08-23,,,,山金国际黄金股份有限公司
603893,SSE,active,2026-08-23,,,,瑞芯微电子股份有限公司
301031,SZSE,active,2026-08-23,,,,西安中熔电气股份有限公司
603979,SSE,active,2026-08-23,,,,金诚信矿业管理股份有限公司
605499,SSE,active,2026-08-23,,,,东鹏饮料(集团)股份有限公司
600415,SSE,active,2026-08-23,,,,浙江中国小商品城集团股份有限公司
603379,SSE,active,2026-08-23,,,,浙江三美化工股份有限公司
600988,SSE,active,2026-08-23,,,,赤峰吉隆黄金矿业集团股份有限公司
002916,SZSE,active,2026-08-23,,,,深南电路股份有限公司
605599,SSE,active,2026-08-23,,,,北京菜市口百货股份有限公司
300033,SZSE,active,2026-08-23,,,,浙江核新同花顺网络信息股份有限公司
300573,SZSE,active,2026-08-23,,,,沈阳兴齐眼药股份有限公司
600989,SSE,active,2026-08-23,,,,宁夏宝丰能源集团股份有限公司
688617,SSE,active,2026-08-23,,,,深圳惠泰医疗器械股份有限公司
002170,SZSE,active,2026-08-23,,,,深圳市芭田生态工程股份有限公司
002920,SZSE,active,2026-08-23,,,,惠州市德赛西威汽车电子股份有限公司
002130,SZSE,active,2026-08-23,,,,深圳市沃尔核材股份有限公司
002475,SZSE,active,2026-08-23,,,,立讯精密工业股份有限公司
300515,SZSE,active,2026-08-23,,,,湖南三德科技股份有限公司
000807,SZSE,active,2026-08-23,,,,云南铝业股份有限公司
603699,SSE,active,2026-08-23,,,,苏州纽威阀门股份有限公司
603173,SSE,active,2026-08-23,,,,杭州福斯达深冷装备股份有限公司
600660,SSE,active,2026-08-23,,,,福耀玻璃工业集团股份有限公司
603040,SSE,active,2026-08-23,,,,杭州新坐标科技股份有限公司
605099,SSE,active,2026-08-23,,,,江苏共创人造草坪股份有限公司
300502,SZSE,active,2026-08-23,,,,成都新易盛通信技术股份有限公司
300475,SZSE,active,2026-08-23,,,,香农芯创科技股份有限公司
002602,SZSE,active,2026-08-23,,,,浙江世纪华通集团股份有限公司
300394,SZSE,active,2026-08-23,,,,苏州天孚光通信股份有限公司
300857,SZSE,active,2026-08-23,,,,协创数据技术股份有限公司
300926,SZSE,active,2026-08-23,,,,江苏博俊工业科技股份有限公司
002155,SZSE,active,2026-08-23,,,,湖南黄金股份有限公司
688093,SSE,active,2026-08-23,,,,苏州世华新材料科技股份有限公司
688127,SSE,active,2026-08-23,,,,浙江蓝特光学股份有限公司
688019,SSE,active,2026-08-23,,,,安集微电子科技(上海)股份有限公司
688150,SSE,active,2026-08-23,,,,陕西莱特光电材料股份有限公司
600301,SSE,active,2026-08-23,,,,广西华锡有色金属股份有限公司
688002,SSE,active,2026-08-23,,,,烟台睿创微纳技术股份有限公司
688278,SSE,active,2026-08-23,,,,厦门特宝生物工程股份有限公司
600547,SSE,active,2026-08-23,,,,山东黄金矿业股份有限公司
301061,SZSE,active,2026-08-23,,,,常州匠心独具智能家居股份有限公司
688123,SSE,active,2026-08-23,,,,聚辰半导体股份有限公司
002028,SZSE,active,2026-08-23,,,,思源电气股份有限公司
688401,SSE,active,2026-08-23,,,,深圳市路维光电股份有限公司
600183,SSE,active,2026-08-23,,,,广东生益科技股份有限公司
688117,SSE,active,2026-08-23,,,,成都圣诺生物科技股份有限公司
688025,SSE,active,2026-08-23,,,,深圳市杰普特光电股份有限公司
688198,SSE,active,2026-08-23,,,,北京佰仁医疗科技股份有限公司
301033,SZSE,active,2026-08-23,,,,广州迈普再生医学科技股份有限公司
300181,SZSE,active,2026-08-23,,,,浙江佐力药业股份有限公司
600114,SSE,active,2026-08-23,,,,东睦新材料集团股份有限公司
688188,SSE,active,2026-08-23,,,,上海柏楚电子科技股份有限公司
600066,SSE,active,2026-08-23,,,,宇通客车股份有限公司
603950,SSE,active,2026-08-23,,,,襄阳长源东谷实业股份有限公司
001696,SZSE,active,2026-08-23,,,,重庆宗申动力机械股份有限公司
300548,SZSE,active,2026-08-23,,,,长芯博创科技股份有限公司
603080,SSE,active,2026-08-23,,,,新疆火炬燃气股份有限公司
688208,SSE,active,2026-08-23,,,,深圳市道通科技股份有限公司
001316,SZSE,active,2026-08-23,,,,润贝航空科技股份有限公司
603166,SSE,active,2026-08-23,,,,桂林福达股份有限公司
603766,SSE,active,2026-08-23,,,,隆鑫通用动力股份有限公司
002284,SZSE,active,2026-08-23,,,,浙江亚太机电股份有限公司
002209,SZSE,active,2026-08-23,,,,广州达意隆包装机械股份有限公司
603239,SSE,active,2026-08-23,,,,浙江仙通橡塑股份有限公司
002126,SZSE,active,2026-08-23,,,,浙江银轮机械股份有限公司
002956,SZSE,active,2026-08-23,,,,桂林西麦食品股份有限公司
600276,SSE,active,2026-08-23,,,,江苏恒瑞医药股份有限公司
605118,SSE,active,2026-08-23,,,,厦门力鼎光电股份有限公司
300054,SZSE,active,2026-08-23,,,,湖北鼎龙控股股份有限公司
300913,SZSE,active,2026-08-23,,,,浙江兆龙互连科技股份有限公司
605116,SSE,active,2026-08-23,,,,奥锐特药业股份有限公司
002138,SZSE,active,2026-08-23,,,,深圳顺络电子股份有限公司
603929,SSE,active,2026-08-23,,,,亚翔系统集成科技(苏州)股份有限公司
603444,SSE,active,2026-08-23,,,,厦门吉比特网络技术股份有限公司
002970,SZSE,active,2026-08-23,,,,深圳市锐明技术股份有限公司
688336,SSE,active,2026-08-23,,,,三生国健药业(上海)股份有限公司
301128,SZSE,active,2026-08-23,,,,深圳市强瑞精密技术股份有限公司
300251,SZSE,active,2026-08-23,,,,北京光线传媒股份有限公司
688041,SSE,active,2026-08-23,,,,海光信息技术股份有限公司
688008,SSE,active,2026-08-23,,,,澜起科技股份有限公司
688800,SSE,active,2026-08-23,,,,苏州瑞可达连接系统股份有限公司
688200,SSE,active,2026-08-23,,,,北京华峰测控技术股份有限公司
